,cidade
1442,nova-canaa
1443,nova-crixas
1444,nova-esperanca
1445,nova-esperanca-do-sudoeste
1446,nova-europa
1447,nova-fatima
1449,nova-floresta
1450,nova-friburgo
1451,nova-granada
1453,nova-ipixuna
1454,nova-laranjeiras
1455,nova-londrina
1456,nova-mamore
1457,nova-mutum
1458,nova-odessa
1459,nova-olimpia
1461,nova-ponte
1463,nova-prata-do-iguacu
1464,nova-rosalandia
1466,nova-santa-helena
1467,nova-serrana
1468,nova-trento
1469,nova-venecia
1470,nova-vicosa
1471,nova-xavantina
1472,novo-airao
1473,novo-brasil
1474,novo-cruzeiro
1475,novo-hamburgo
1476,novo-horizonte
1477,novo-horizonte
1478,novo-oriente
1479,novo-oriente-de-minas
1480,novo-planalto
1481,novo-progresso
1482,novo-repartimento
1483,novorizonte
1484,novo-sao-joaquim
1485,obidos
1486,ocara
1487,ocaucu
1488,oeiras
1489,olimpia
1490,olinda-nova-do-maranhao
1491,olindina
1492,oliveira
1493,oliveira-de-fatima
1494,oliveira-dos-brejinhos
1495,onda-verde
1496,orindiuva
1498,orizania
1499,orizona
1501,orleans
1502,oroco
1503,oros
1504,ortigueira
1505,osasco
1506,osorio
1508,otacilio-costa
1509,ourem
1510,ouricuri
1512,ourinhos
1513,ouro-branco
1514,ouroeste
1515,ouro-fino
1516,ouro-preto
1517,ouro-preto-do-oeste
1519,ouro-verde-de-minas
1520,ouvidor
1521,pacaembu
1522,pacaja
1523,pacajus
1524,pacaraima
1525,pacatuba
1526,pacoti
1527,pacuja
1528,padre-carvalho
1529,padre-paraiso
1530,paicandu
1531,palestina
1532,palestina-de-goias
